Date,ABT,ACN,ADBE,AMD,AMZN,AVGO,BAC,BMY,COST,CRM,CSCO,CVX,DHR,DIS,GE,GOOG,HD,HON,IBM,JNJ,JPM,KO,LIN,MA,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,PEP,PG,PM,QCOM,SPY,TMO,TSLA,UNP,V,WMT,XOM
6/26/2024,101.9061813,297.8085327,528.6599731,157.5399933,193.6100006,157.1369476,37.85650253,39.43958282,850.0508423,240.9332123,44.95038605,145.9029846,251.5453644,100.832077,159.1468658,184.3195801,331.8881836,194.8308105,164.7897644,140.2606812,191.100769,61.7564621,431.6061707,448.5340576,250.4919739,511.0241089,125.9609299,92.67790222,447.1463318,70.22209167,67.76899719,91.60955811,159.3209991,161.216629,97.19689178,191.9940186,537.3095703,555.8546143,196.3699951,217.2599335,270.6122742,67.43834686,108.5860062
6/27/2024,101.682724,296.4105225,546.7600098,159.4700012,197.8500061,156.6098633,38.09916306,38.52087784,843.8800659,250.5447845,45.51634598,146.249176,249.7301178,100.8222046,159.0081635,185.8011627,331.5677185,195.6980286,163.8117828,139.2862549,192.7849884,61.62147522,433.3781738,438.9859314,250.8223114,517.4378052,124.3517075,91.60658264,447.8287048,70.5570755,68.43399811,91.73617554,158.8623352,160.4175262,96.82511139,189.8729553,538.1565552,548.4953003,197.4199982,217.1239319,263.6788635,67.0334549,109.0510559
6/28/2024,100.9636917,296.6256409,555.539978,162.2100067,193.25,158.4723969,38.60391998,38.53943634,843.2550659,254.756012,45.5738945,146.3427124,248.1016083,97.98020172,157.4924011,182.380661,334.2378235,194.9312134,165.8252716,139.6301422,195.7759247,61.37078857,431.9900818,437.4094849,247.5870667,502.1604614,118.5852737,92.96486664,441.9941406,67.77192688,67.48799896,73.40647125,157.5915222,158.7808228,96.59633636,193.7939911,536.0388794,550.7059937,197.8800049,219.8347015,259.6037903,66.86557007,109.2598495
7/1/2024,100.273819,295.7848206,560.0100098,157.6900024,197.1999969,161.9537048,38.83688354,38.32600021,838.9693604,253.8741455,45.58348846,146.4362793,242.7989807,96.74668884,157.4924011,183.4445648,326.4217224,192.5669403,167.8867188,139.8976288,198.8636932,61.01403046,422.2735291,433.8895874,242.8751221,502.6185608,122.5125656,94.84921265,451.6656799,66.90096283,67.36100006,74.82843018,155.6423035,156.6627197,96.52006531,194.6209717,537.1420898,539.4727783,209.8600006,218.4744415,260.365387,66.63845062,109.1080017
7/2/2024,100.273819,297.0361938,567.710022,164.3099976,200,163.6000824,39.72990417,37.53721237,852.5508423,253.8543243,45.35326767,146.6514282,238.7276459,96.69734955,159.9493561,185.5525665,325.2371826,194.6482391,169.9960938,139.5059509,202.1353302,60.88868713,423.4056091,440.8697815,240.7377167,507.4188843,122.3401413,95.31790924,454.1873779,67.44651031,67.95800018,74.05901337,156.3016052,157.7987823,96.8918457,194.7474823,540.756897,531.7151489,231.2599945,219.096283,265.3009033,67.22108459,108.3676987
7/3/2024,99.42849731,298.9132996,570.1500244,163.8999939,197.5899963,170.6811218,39.70079422,37.17529678,855.824707,258.5709229,45.17101669,146.6140442,238.3205261,97.30916595,161.4849396,186.3281555,323.9458313,193.945343,168.4907684,139.1811371,201.9998169,61.06224442,426.2113037,444.369751,242.8848267,507.8770142,120.548912,95.84399414,455.6608887,68.74816895,68.25099945,73.27985382,155.3652039,157.7313995,96.68212128,198.2987823,543.170105,533.3881836,246.3899994,219.1642761,266.0526123,67.38896179,108.9181824
7/5/2024,101.0705643,292.4511108,578.3400269,171.8999939,200,168.1236877,39.22515106,37.3637085,878.6524048,260.7904663,45.13231659,144.3686218,237.5757904,96.69734955,159.0081635,190.8722687,324.85849,193.7445374,168.7688293,139.9358521,199.3232117,61.47684479,428.9481201,445.6686401,243.9438019,537.7047119,121.1236343,95.26051331,462.3755798,68.99700165,69.06500244,73.46489716,157.0755463,159.0600128,97.3494339,200.1863251,546.3023071,537.8595581,251.5200043,218.77565,267.4076233,69.16651917,107.598938
7/8/2024,99.22444916,292.7736816,575.4000244,178.6900024,199.2899933,172.3235474,39.42899323,37.67460632,873.8606567,255.0235748,44.56151199,144.3873749,238.9659729,96.52881622,162.0100098,189.4006348,329.7326355,193.1876526,170.3220825,138.9805298,199.6930695,60.70549393,428.967804,442.4462585,240.7960358,527.1578979,120.4818649,96.21704102,461.0702209,69.01615906,68.5739975,71.14691162,154.9065399,160.3212738,97.79747009,202.2684784,546.9326172,534.0653076,252.9400024,217.0462036,263.4908752,68.81101227,106.4695129
7/9/2024,98.75805664,291.3952026,566.0200195,177.1000061,199.3399963,171.0848236,40.2055397,38.49422836,879.822998,250.5179443,44.30997086,143.1243439,238.1119843,96.21157837,161.613739,189.3608704,327.2956238,192.2474365,169.2098541,140.4803925,202.0874176,60.4451561,424.4983521,441.5724487,238.8238068,527.835144,120.7309189,98.14923859,454.444519,69.02572632,68.5739975,70.57228088,154.6963348,159.4932556,96.92044067,201.5192871,547.4645386,529.6536865,262.3299866,215.4819183,262.5413818,69.02826691,105.2926407
7/10/2024,100.1280823,288.8338318,564.5499878,183.9600067,199.7899933,172.2080536,40.51615906,38.73917389,877.3031616,250.6767578,44.76467896,145.1358185,240.5051422,96.13226318,164.1598358,191.5682983,334.1795654,195.7984467,170.513855,142.7540436,202.2528687,60.58014679,428.190094,430.590271,243.3608704,532.5060425,121.9378433,98.9622879,461.0801086,69.77226257,67.76499939,70.65019226,156.311142,160.5908508,97.95953369,203.1538544,552.8817749,534.6429443,263.2600098,218.0372162,260.1279907,69.53191376,106.2227402
